"","total_points","was_home","kickoff_time","round","modified","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","value","transfers_balance","selected","transfers_in","transfers_out","id","first_name","second_name","web_name","photo","short_team_name","strength","total_xg_conceded","opp_team_name","opp_short_team_name","opp_strength","team_strength","opp_team_strength","team_strength_att","opp_team_strength_att","team_strength_def","opp_team_strength_def","Position","Goals","Opp_Goals","name_club","full_name","cs_mean","recent_starts","points_mean","bps_mean","xg_mean","xa_mean","xgi_mean","xg_against","goals_mean","oppgoals_mean","threat_mean","creativity_mean","influence_mean","ict_mean","team_xg","team_xg_mean"
"1458",0,TRUE,"2025-09-27T14:00:00Z",6,FALSE,27,0,0,0,3,0,0,0,0,0,0,0,-5,4.2,1.8,2,0.8,0,1,2,2,0,0,0.01,0.01,2.06,49,-10784,156968,4596,15380,228,"Malo","Gusto","Gusto","482609.jpg","CHE",4,"2.28","Brighton","BHA",3,1185,1175,1150,1140,1220,1210,"DEF",1,3,"Gusto (CHE)","Malo Gusto",0.2,39,2,7.8,0.004,0.014,0.018,0.35,2,1,1.8,4.26,4.68,1.06,1.82,1.684
"1459",0,TRUE,"2025-08-17T13:00:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2103,0,0,229,"Benoît","Badiashile Mukinayi","B.Badiashile","242880.jpg","CHE",4,"0.66","Crystal Palace","CRY",3,1185,1160,1150,1130,1220,1190,"DEF",0,0,"B.Badiashile (CHE)","Benoît Badiashile Mukinayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.728
"1460",0,FALSE,"2025-08-22T19:00:00Z",2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-639,1512,49,688,229,"Benoît","Badiashile Mukinayi","B.Badiashile","242880.jpg","CHE",4,"0.73","West Ham","WHU",3,1245,1100,1190,1100,1300,1100,"DEF",5,1,"B.Badiashile (CHE)","Benoît Badiashile Mukinayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.494
"1461",0,TRUE,"2025-08-30T11:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-294,1274,40,334,229,"Benoît","Badiashile Mukinayi","B.Badiashile","242880.jpg","CHE",4,"1.02","Fulham","FUL",3,1185,1125,1150,1130,1220,1120,"DEF",2,0,"B.Badiashile (CHE)","Benoît Badiashile Mukinayi",0,0,0,0,0,0,0,0,2.5,0.5,0,0,0,0,2.36,1.576
"1462",0,FALSE,"2025-09-13T19:00:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-137,1149,15,152,229,"Benoît","Badiashile Mukinayi","B.Badiashile","242880.jpg","CHE",4,"1.43","Brentford","BRE",3,1245,1120,1190,1080,1300,1160,"DEF",2,2,"B.Badiashile (CHE)","Benoît Badiashile Mukinayi",0,0,0,0,0,0,0,0,2.33333333333333,0.333333333333333,0,0,0,0,1.26,1.796
"1463",0,FALSE,"2025-09-20T16:30:00Z",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-63,1105,11,74,229,"Benoît","Badiashile Mukinayi","B.Badiashile","242880.jpg","CHE",4,"1.84","Man Utd","MUN",3,1245,1105,1190,1110,1300,1100,"DEF",1,2,"B.Badiashile (CHE)","Benoît Badiashile Mukinayi",0,0,0,0,0,0,0,0,2.25,0.75,0,0,0,0,0.43,1.962
"1464",-1,TRUE,"2025-09-27T14:00:00Z",6,FALSE,11,0,0,0,2,0,0,0,1,0,0,0,-8,1.4,0.3,0,0.2,1,2,0,1,0,0,0,0,1.24,44,-43,1072,30,73,229,"Benoît","Badiashile Mukinayi","B.Badiashile","242880.jpg","CHE",4,"2.28","Brighton","BHA",3,1185,1175,1150,1140,1220,1210,"DEF",1,3,"B.Badiashile (CHE)","Benoît Badiashile Mukinayi",0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.82,1.684
"1465",0,TRUE,"2025-08-17T13:00:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,20068,0,0,230,"Wesley","Fofana","Fofana","444463.jpg","CHE",4,"0.66","Crystal Palace","CRY",3,1185,1160,1150,1130,1220,1190,"DEF",0,0,"Fofana (CHE)","Wesley Fofana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.728
"1466",1,FALSE,"2025-08-22T19:00:00Z",2,FALSE,21,0,0,0,0,0,0,0,0,0,0,0,5,3.4,0.4,0,0.4,1,0,1,2,0,0,0,0,0.44,45,-3418,20354,1250,4668,230,"Wesley","Fofana","Fofana","444463.jpg","CHE",4,"0.73","West Ham","WHU",3,1245,1100,1190,1100,1300,1100,"DEF",5,1,"Fofana (CHE)","Wesley Fofana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.494
"1467",0,TRUE,"2025-08-30T11:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1426,22225,1598,3024,230,"Wesley","Fofana","Fofana","444463.jpg","CHE",4,"1.02","Fulham","FUL",3,1185,1125,1150,1130,1220,1120,"DEF",2,0,"Fofana (CHE)","Wesley Fofana",0,10.5,0.5,2.5,0,0,0,0.22,2.5,0.5,0,0.2,1.7,0.2,2.36,1.576
"1468",1,FALSE,"2025-09-13T19:00:00Z",4,FALSE,45,0,0,0,1,0,0,0,0,0,0,0,7,6.2,2.8,0,0.9,2,1,0,2,1,0,0.01,0.01,0.55,44,-2095,21648,1183,3278,230,"Wesley","Fofana","Fofana","444463.jpg","CHE",4,"1.43","Brentford","BRE",3,1245,1120,1190,1080,1300,1160,"DEF",2,2,"Fofana (CHE)","Wesley Fofana",0,7,0.333333333333333,1.66666666666667,0,0,0,0.146666666666667,2.33333333333333,0.333333333333333,0,0.133333333333333,1.13333333333333,0.133333333333333,1.26,1.796
"1469",1,FALSE,"2025-09-20T16:30:00Z",5,FALSE,63,0,0,0,2,0,0,0,0,0,0,0,6,17.6,1.1,0,1.9,7,1,2,9,1,0,0,0,1.45,44,-616,21990,1216,1832,230,"Wesley","Fofana","Fofana","444463.jpg","CHE",4,"1.84","Man Utd","MUN",3,1245,1105,1190,1110,1300,1100,"DEF",1,2,"Fofana (CHE)","Wesley Fofana",0,16.5,0.5,3,0,0.0025,0.0025,0.2475,2.25,0.75,0,0.8,2.4,0.325,0.43,1.962
"1470",0,TRUE,"2025-09-27T14:00:00Z",6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-144,22680,3107,3251,230,"Wesley","Fofana","Fofana","444463.jpg","CHE",4,"2.28","Brighton","BHA",3,1185,1175,1150,1140,1220,1210,"DEF",1,3,"Fofana (CHE)","Wesley Fofana",0,25.8,0.6,3.6,0,0.002,0.002,0.488,2,1,0,0.86,5.44,0.64,1.82,1.684
"1471",0,TRUE,"2025-08-17T13:00:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2776,0,0,231,"Mamadou","Sarr","M.Sarr","574458.jpg","CHE",4,"0.66","Crystal Palace","CRY",3,1185,1160,1150,1130,1220,1190,"DEF",0,0,"M.Sarr (CHE)","Mamadou Sarr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.728
"1472",0,FALSE,"2025-08-22T19:00:00Z",2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-976,1779,0,976,231,"Mamadou","Sarr","M.Sarr","574458.jpg","CHE",4,"0.73","West Ham","WHU",3,1245,1100,1190,1100,1300,1100,"DEF",5,1,"M.Sarr (CHE)","Mamadou Sarr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.494
"1473",0,TRUE,"2025-08-30T11:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-413,1396,0,413,231,"Mamadou","Sarr","M.Sarr","574458.jpg","CHE",4,"1.02","Fulham","FUL",3,1185,1125,1150,1130,1220,1120,"DEF",2,0,"M.Sarr (CHE)","Mamadou Sarr",0,0,0,0,0,0,0,0,2.5,0.5,0,0,0,0,2.36,1.576
"1474",0,FALSE,"2025-09-13T19:00:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-195,1214,0,195,231,"Mamadou","Sarr","M.Sarr","574458.jpg","CHE",4,"1.43","Brentford","BRE",3,1245,1120,1190,1080,1300,1160,"DEF",2,2,"M.Sarr (CHE)","Mamadou Sarr",0,0,0,0,0,0,0,0,2.33333333333333,0.333333333333333,0,0,0,0,1.26,1.796
"1475",0,FALSE,"2025-09-20T16:30:00Z",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-89,1128,0,89,231,"Mamadou","Sarr","M.Sarr","574458.jpg","CHE",4,"1.84","Man Utd","MUN",3,1245,1105,1190,1110,1300,1100,"DEF",1,2,"M.Sarr (CHE)","Mamadou Sarr",0,0,0,0,0,0,0,0,2.25,0.75,0,0,0,0,0.43,1.962
"1476",0,TRUE,"2025-09-27T14:00:00Z",6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-64,1068,0,64,231,"Mamadou","Sarr","M.Sarr","574458.jpg","CHE",4,"2.28","Brighton","BHA",3,1185,1175,1150,1140,1220,1210,"DEF",1,3,"M.Sarr (CHE)","Mamadou Sarr",0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.82,1.684
"1477",0,TRUE,"2025-08-17T13:00:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,128981,0,0,232,"Tosin","Adarabioyo","Tosin","109646.jpg","CHE",4,"0.66","Crystal Palace","CRY",3,1185,1160,1150,1130,1220,1190,"DEF",0,0,"Tosin (CHE)","Tosin Adarabioyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.728
"1478",2,FALSE,"2025-08-22T19:00:00Z",2,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,16,26.4,1.9,0,2.8,6,3,3,9,1,0,0.03,0.03,0.73,45,-15923,116812,10429,26352,232,"Tosin","Adarabioyo","Tosin","109646.jpg","CHE",4,"0.73","West Ham","WHU",3,1245,1100,1190,1100,1300,1100,"DEF",5,1,"Tosin (CHE)","Tosin Adarabioyo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.494
"1479",8,TRUE,"2025-08-30T11:30:00Z",3,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,27,26,0.7,2,2.9,9,3,2,11,1,0,0.01,0.01,1.02,45,-391,118295,14872,15263,232,"Tosin","Adarabioyo","Tosin","109646.jpg","CHE",4,"1.02","Fulham","FUL",3,1185,1125,1150,1130,1220,1120,"DEF",2,0,"Tosin (CHE)","Tosin Adarabioyo",0,45,1,8,0,0.015,0.015,0.365,2.5,0.5,0,0.95,13.2,1.4,2.36,1.576
"1480",1,FALSE,"2025-09-13T19:00:00Z",4,FALSE,90,0,0,0,2,0,0,0,0,0,0,0,7,27,1.7,0,2.9,9,1,0,9,1,0,0.02,0.02,1.43,45,16120,140728,44901,28781,232,"Tosin","Adarabioyo","Tosin","109646.jpg","CHE",4,"1.43","Brentford","BRE",3,1245,1120,1190,1080,1300,1160,"DEF",2,2,"Tosin (CHE)","Tosin Adarabioyo",0.333333333333333,60,3.33333333333333,14.3333333333333,0,0.0133333333333333,0.0133333333333333,0.583333333333333,2.33333333333333,0.333333333333333,0.666666666666667,0.866666666666667,17.4666666666667,1.9,1.26,1.796
"1481",0,FALSE,"2025-09-20T16:30:00Z",5,FALSE,83,0,0,0,2,0,0,0,1,0,0,0,3,19.6,2.1,9,3.1,8,6,0,8,0,0.05,0.01,0.05,1.79,45,-4871,137364,7938,12809,232,"Tosin","Adarabioyo","Tosin","109646.jpg","CHE",4,"1.84","Man Utd","MUN",3,1245,1105,1190,1110,1300,1100,"DEF",1,2,"Tosin (CHE)","Tosin Adarabioyo",0.25,67.5,2.75,12.5,0,0.015,0.015,0.795,2.25,0.75,0.5,1.075,19.85,2.15,0.43,1.962
"1482",0,TRUE,"2025-09-27T14:00:00Z",6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-41912,94771,5374,47286,232,"Tosin","Adarabioyo","Tosin","109646.jpg","CHE",4,"2.28","Brighton","BHA",3,1185,1175,1150,1140,1220,1210,"DEF",1,3,"Tosin (CHE)","Tosin Adarabioyo",0.2,70.6,2.2,10.6,0.01,0.014,0.022,0.994,2,1,2.2,1.28,19.8,2.34,1.82,1.684
